AÑO,MES,MAQUINA,CENTRAL,AGENTE,AGENTE DESCRIPCION,REGION,PROVINCIA,PAIS,TIPO MAQUINA,FUENTE GENERACION,TECNOLOGIA,CATEGORIA HIDRAULICA,CATEGORIA REGION,GENERACION NETA
2021,1/8/2021,TIMBTV01,TIMB,TSMARTIG,TERMOELE. JOSE SAN MARTIN S.A,LITORAL,SANTA FE,Argentina,TURBO VAPOR,Térmica,CC,,Gba - Litoral - Buenos Aires,"129.914,5"
2021,1/8/2021,TINODI01,TINO,CTTINOSG,CT TINOGASTA - SULLAIR,NOROESTE,CATAMARCA,Argentina,MOTOR DIESEL,Térmica,DI,,Noa,"215,0"
2021,1/8/2021,TORDEO,TORDEO,CETORDIG,CE EL TORDILLO-VIENTO PATAGON,PATAGONICA,CHUBUT,Argentina,EOLICA,Renovable,EOL,,Patagonia,"0,0"
2021,1/8/2021,TRAPTG01,TRAP,CHEVHUQA,CHEVRON ARGENTINA - HUANTRAICO,COMAHUE,NEUQUEN,Argentina,TURBO GAS,Térmica,TG,,Comahue,"0,0"
2021,1/8/2021,TUCUTG01,TUCU,YPFENERG,YPF ENERGÍA ELECTR.ex PLUSPETG,NOROESTE,TUCUMAN,Argentina,TURBO GAS,Térmica,CC,,Noa,"69.618,2"
2021,1/8/2021,TUCUTG02,TUCU,YPFENERG,YPF ENERGÍA ELECTR.ex PLUSPETG,NOROESTE,TUCUMAN,Argentina,TURBO GAS,Térmica,CC,,Noa,"87.738,3"
2021,1/8/2021,TUCUTV01,TUCU,YPFENERG,YPF ENERGÍA ELECTR.ex PLUSPETG,NOROESTE,TUCUMAN,Argentina,TURBO VAPOR,Térmica,CC,,Noa,"71.474,8"
2021,1/8/2021,TUNAHI,TUNAHI,AESJURAG,AES JURAMENTO,NOROESTE,SALTA,Argentina,HIDRAULICA <=50,Renovable,HR,Resto Hidráulico,Noa,"2.517,8"
2021,1/8/2021,ULLUHI,ULLUHI,HTSANJUG,HIDROTERMICA SAN JUAN,CUYO,SAN JUAN,Argentina,HIDRAULICA <=50,Renovable,HR,Resto Hidráulico,Cuyo,"6.597,9"
2021,1/8/2021,VANGDI01,VANG,CTVANGAG,CT VILLA ANGELA - AGGREKO,NORESTE,CHACO,Argentina,MOTOR DIESEL,Térmica,DI,,Nea,"508,1"
2021,1/8/2021,VGADDI01,VGAD,CTGVILAG,CT GRAL. VILLEGAS - AGGREKO,BUENOS AIRES,BUENOS AIRES,Argentina,MOTOR DIESEL,Térmica,DI,,Gba - Litoral - Buenos Aires,"1.883,5"
